"iso.3","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"CAN",0,0,0,0,0,0,12000,60000,98400,203000,345000,584000,776000,1030000,1330000,1870000,2590000,3500000,4200000,5350000,6910000,8730000,10600000,11900000,13300000,1.5e+07,1.7e+07,18700000,20300000,22100000,23800000,25800000,26800000,27700000,28400000,28800000,29800000,30800000,31700000,33200000,34600000
"CHE",0,0,0,0,0,0,0,0,5480,30800,72700,125000,175000,215000,258000,332000,447000,663000,1040000,1700000,3060000,4640000,5280000,5740000,6190000,6270000,6830000,7440000,8210000,8900000,9320000,9640000,10100000,10600000,1.1e+07,11200000,11200000,11200000,11100000,10800000,10900000
"CHL",0,0,0,0,0,0,0,0,0,0,4890,13900,36100,64400,85200,116000,197000,319000,410000,964000,2260000,3400000,5100000,6240000,7270000,9260000,10600000,12500000,1.4e+07,14800000,16500000,19900000,22300000,23900000,23700000,23700000,23200000,23300000,2.3e+07,25200000,25100000
"CHN",0,0,0,0,0,0,0,0,700,3230,9810,18300,47500,177000,638000,1570000,3630000,6850000,13200000,23900000,43300000,85300000,1.45e+08,2.06e+08,2.7e+08,3.35e+08,3.93e+08,4.61e+08,5.47e+08,6.41e+08,7.47e+08,8.59e+08,9.86e+08,1.11e+09,1.23e+09,1.29e+09,1.29e+09,1.36e+09,1.47e+09,1.65e+09,1.73e+09
"CIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13500,36000,91200,257000,473000,729000,1030000,1280000,1670000,2350000,4070000,7470000,10400000,13200000,15600000,17300000,18100000,19400000,22100000,25400000,27500000,31700000,33800000,37400000
"CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,2800,3500,4200,5000,6000,103000,417000,702000,1080000,1530000,2250000,3140000,4540000,6160000,8e+06,8640000,10500000,13100000,15700000,1.7e+07,18200000,18700000,20100000,18500000,21200000
"COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,7200,8900,10000,12000,15000,150000,560000,1250000,1990000,2750000,4420000,6590000,9940000,9460000,11800000,15600000,20100000,28200000,37100000,37800000,28900000,35400000,36500000,37100000
"COG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-894183.407830616,3390,5000,70000,150000,222000,330000,384000,558000,917000,1290000,1810000,2950000,3720000,3880000,4280000,4660000,4930000,5220000,5420000,5060000,5e+06,5e+06
"COL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86800,275000,523000,1260000,1800000,1970000,2260000,3270000,4600000,6190000,10400000,21800000,29800000,33900000,41400000,42200000,44500000,46200000,49100000,50300000,55300000,57300000,58700000,62200000,64500000,66300000
"COM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,8380,15500,36900,62100,91700,123000,165000,216000,284000,348000,383000,425000,454000,469000,499000,575000
